"","area_code","survey_datetime","year","yr","month","m","day","day_of_week","week_day_type","time_step","anglers","coho_total_kept","kept_coho_ad_rate","coho_kept_ad","coho_total_released","coho_total_encounters","coho_kept_per_angler","coho_kept_ad_per_angler","coho_released_per_angler","coho_encounters_per_angler"
"45","10","2003-06-22",2003,"2003",6,"Jun",22,"Sun","wkend",1,29,0,0,0,0,0,0,0,0,0
"46","10","2003-06-23",2003,"2003",6,"Jun",23,"Mon","wkday",1,4,0,0,0,0,0,0,0,0,0
"47","10","2003-06-24",2003,"2003",6,"Jun",24,"Tue","wkday",1,5,0,0,0,0,0,0,0,0,0
"48","10","2003-06-27",2003,"2003",6,"Jun",27,"Fri","wkend",1,2,0,0,0,0,0,0,0,0,0
"49","10","2003-06-28",2003,"2003",6,"Jun",28,"Sat","wkend",1,2,0,0,0,0,0,0,0,0,0
"50","10","2003-06-29",2003,"2003",6,"Jun",29,"Sun","wkend",1,1,0,0,0,0,0,0,0,0,0
"51","10","2003-07-01",2003,"2003",7,"Jul",1,"Tue","wkday",2,9,1,0,0,0,1,0.111111111111111,0,0,0.111111111111111
"52","10","2003-07-05",2003,"2003",7,"Jul",5,"Sat","wkend",2,19,1,1,1,0,1,0.0526315789473684,0.0526315789473684,0,0.0526315789473684
"53","10","2003-07-06",2003,"2003",7,"Jul",6,"Sun","wkend",2,31,5,0.4,2,0,5,0.161290322580645,0.0645161290322581,0,0.161290322580645
"54","10","2003-07-07",2003,"2003",7,"Jul",7,"Mon","wkday",2,12,2,0.5,1,0,2,0.166666666666667,0.0833333333333333,0,0.166666666666667
"55","10","2003-07-09",2003,"2003",7,"Jul",9,"Wed","wkday",2,3,0,0,0,0,0,0,0,0,0
"56","10","2003-07-10",2003,"2003",7,"Jul",10,"Thu","wkday",2,8,1,0,0,0,1,0.125,0,0,0.125
"57","10","2003-07-11",2003,"2003",7,"Jul",11,"Fri","wkend",2,26,1,1,1,0,1,0.0384615384615385,0.0384615384615385,0,0.0384615384615385
"58","10","2003-07-12",2003,"2003",7,"Jul",12,"Sat","wkend",2,64,4,0.25,1,3,7,0.0625,0.015625,0.046875,0.109375
"59","10","2003-07-13",2003,"2003",7,"Jul",13,"Sun","wkend",2,29,5,0.6,3,2,7,0.172413793103448,0.103448275862069,0.0689655172413793,0.241379310344828
"60","10","2003-07-14",2003,"2003",7,"Jul",14,"Mon","wkday",2,11,1,0,0,0,1,0.0909090909090909,0,0,0.0909090909090909
"61","10","2003-07-15",2003,"2003",7,"Jul",15,"Tue","wkday",2,9,0,0,0,0,0,0,0,0,0
"62","10","2003-07-17",2003,"2003",7,"Jul",17,"Thu","wkday",2,15,2,0.5,1,2,4,0.133333333333333,0.0666666666666667,0.133333333333333,0.266666666666667
"63","10","2003-07-18",2003,"2003",7,"Jul",18,"Fri","wkend",2,24,4,0.5,2,2,6,0.166666666666667,0.0833333333333333,0.0833333333333333,0.25
"64","10","2003-07-19",2003,"2003",7,"Jul",19,"Sat","wkend",2,62,17,0.529411764705882,9,26,43,0.274193548387097,0.145161290322581,0.419354838709677,0.693548387096774
"65","10","2003-07-20",2003,"2003",7,"Jul",20,"Sun","wkend",2,72,24,0.333333333333333,8,7,31,0.333333333333333,0.111111111111111,0.0972222222222222,0.430555555555556
"66","10","2003-07-21",2003,"2003",7,"Jul",21,"Mon","wkday",2,24,6,0.5,3,5,11,0.25,0.125,0.208333333333333,0.458333333333333
"67","10","2003-07-22",2003,"2003",7,"Jul",22,"Tue","wkday",2,6,1,0,0,0,1,0.166666666666667,0,0,0.166666666666667
"68","10","2003-07-24",2003,"2003",7,"Jul",24,"Thu","wkday",2,33,1,0,0,0,1,0.0303030303030303,0,0,0.0303030303030303
"69","10","2003-07-25",2003,"2003",7,"Jul",25,"Fri","wkend",2,54,1,0,0,2,3,0.0185185185185185,0,0.037037037037037,0.0555555555555556
"70","10","2003-07-26",2003,"2003",7,"Jul",26,"Sat","wkend",2,48,10,0.2,2,1,11,0.208333333333333,0.0416666666666667,0.0208333333333333,0.229166666666667
"71","10","2003-07-27",2003,"2003",7,"Jul",27,"Sun","wkend",2,53,16,0.4375,7,16,32,0.30188679245283,0.132075471698113,0.30188679245283,0.60377358490566
"72","10","2003-07-28",2003,"2003",7,"Jul",28,"Mon","wkday",2,42,7,0.428571428571429,3,0,7,0.166666666666667,0.0714285714285714,0,0.166666666666667
"73","10","2003-07-29",2003,"2003",7,"Jul",29,"Tue","wkday",2,76,0,0,0,0,0,0,0,0,0
"74","10","2003-07-31",2003,"2003",7,"Jul",31,"Thu","wkday",2,25,12,0.0833333333333333,1,10,22,0.48,0.04,0.4,0.88
"75","10","2003-08-01",2003,"2003",8,"Aug",1,"Fri","wkend",3,40,24,0.375,9,16,40,0.6,0.225,0.4,1
"76","10","2003-08-02",2003,"2003",8,"Aug",2,"Sat","wkend",3,68,43,0.5,21.5,20,63,0.632352941176471,0.316176470588235,0.294117647058824,0.926470588235294
"77","10","2003-08-03",2003,"2003",8,"Aug",3,"Sun","wkend",3,81,42,0.476190476190476,20,25,67,0.518518518518518,0.246913580246914,0.308641975308642,0.827160493827161
"78","10","2003-08-04",2003,"2003",8,"Aug",4,"Mon","wkday",3,22,2,0,0,3,5,0.0909090909090909,0,0.136363636363636,0.227272727272727
"79","10","2003-08-05",2003,"2003",8,"Aug",5,"Tue","wkday",3,49,1,0,0,2,3,0.0204081632653061,0,0.0408163265306122,0.0612244897959184
"80","10","2003-08-06",2003,"2003",8,"Aug",6,"Wed","wkday",3,1,2,0.5,1,0,2,2,1,0,2
"81","10","2003-08-07",2003,"2003",8,"Aug",7,"Thu","wkday",3,30,31,0.419354838709677,13,19,50,1.03333333333333,0.433333333333333,0.633333333333333,1.66666666666667
"82","10","2003-08-08",2003,"2003",8,"Aug",8,"Fri","wkend",3,50,45,0.355555555555556,16,46,91,0.9,0.32,0.92,1.82
"83","10","2003-08-09",2003,"2003",8,"Aug",9,"Sat","wkend",3,64,52,0.326923076923077,17,41,93,0.8125,0.265625,0.640625,1.453125
"84","10","2003-08-10",2003,"2003",8,"Aug",10,"Sun","wkend",3,13,13,0.230769230769231,3,4,17,1,0.230769230769231,0.307692307692308,1.30769230769231
"85","10","2003-08-11",2003,"2003",8,"Aug",11,"Mon","wkday",3,24,2,0.5,1,0,2,0.0833333333333333,0.0416666666666667,0,0.0833333333333333
"86","10","2003-08-12",2003,"2003",8,"Aug",12,"Tue","wkday",3,3,3,0,0,0,3,1,0,0,1
"87","10","2003-08-15",2003,"2003",8,"Aug",15,"Fri","wkend",3,8,5,0.4,2,2,7,0.625,0.25,0.25,0.875
"88","10","2003-08-16",2003,"2003",8,"Aug",16,"Sat","wkend",3,10,0,0,0,0,0,0,0,0,0
"89","10","2003-08-17",2003,"2003",8,"Aug",17,"Sun","wkend",3,26,10,0.4,4,0,10,0.384615384615385,0.153846153846154,0,0.384615384615385
"90","10","2003-08-18",2003,"2003",8,"Aug",18,"Mon","wkday",3,7,0,0,0,1,1,0,0,0.142857142857143,0.142857142857143
"91","10","2003-08-19",2003,"2003",8,"Aug",19,"Tue","wkday",3,44,26,0.346153846153846,9,13,39,0.590909090909091,0.204545454545455,0.295454545454545,0.886363636363636
"92","10","2003-08-21",2003,"2003",8,"Aug",21,"Thu","wkday",3,2,0,0,0,0,0,0,0,0,0
"93","10","2003-08-22",2003,"2003",8,"Aug",22,"Fri","wkend",3,42,25,0.36,9,29,54,0.595238095238095,0.214285714285714,0.69047619047619,1.28571428571429
"94","10","2003-08-23",2003,"2003",8,"Aug",23,"Sat","wkend",3,73,35,0.457142857142857,16,35,70,0.479452054794521,0.219178082191781,0.479452054794521,0.958904109589041
"95","10","2003-08-24",2003,"2003",8,"Aug",24,"Sun","wkend",3,112,54,0.462962962962963,25,35,89,0.482142857142857,0.223214285714286,0.3125,0.794642857142857
"96","10","2003-08-25",2003,"2003",8,"Aug",25,"Mon","wkday",3,9,3,0,0,13,16,0.333333333333333,0,1.44444444444444,1.77777777777778
"97","10","2003-08-26",2003,"2003",8,"Aug",26,"Tue","wkday",3,48,7,0.714285714285714,5,0,7,0.145833333333333,0.104166666666667,0,0.145833333333333
"98","10","2003-08-28",2003,"2003",8,"Aug",28,"Thu","wkday",3,43,30,0.766666666666667,23,10,40,0.697674418604651,0.534883720930233,0.232558139534884,0.930232558139535
"99","10","2003-08-29",2003,"2003",8,"Aug",29,"Fri","wkend",3,21,11,0.636363636363636,7,10,21,0.523809523809524,0.333333333333333,0.476190476190476,1
"100","10","2003-08-30",2003,"2003",8,"Aug",30,"Sat","wkend",3,124,96,0.5625,54,38,134,0.774193548387097,0.435483870967742,0.306451612903226,1.08064516129032
"101","10","2003-08-31",2003,"2003",8,"Aug",31,"Sun","wkend",3,191,113,0.557522123893805,63,80,193,0.591623036649215,0.329842931937173,0.418848167539267,1.01047120418848
"102","10","2003-09-02",2003,"2003",9,"Sep",2,"Tue","wkday",4,38,13,0.615384615384615,8,21,34,0.342105263157895,0.210526315789474,0.552631578947368,0.894736842105263
"103","10","2003-09-03",2003,"2003",9,"Sep",3,"Wed","wkday",4,46,19,0.421052631578947,8,31,50,0.41304347826087,0.173913043478261,0.673913043478261,1.08695652173913
"104","10","2003-09-04",2003,"2003",9,"Sep",4,"Thu","wkday",4,31,14,0.5,7,22,36,0.451612903225806,0.225806451612903,0.709677419354839,1.16129032258065
"105","10","2003-09-05",2003,"2003",9,"Sep",5,"Fri","wkend",4,108,100,0.59,59,51,151,0.925925925925926,0.546296296296296,0.472222222222222,1.39814814814815
"106","10","2003-09-06",2003,"2003",9,"Sep",6,"Sat","wkend",4,195,119,0.571428571428571,68,80,199,0.61025641025641,0.348717948717949,0.41025641025641,1.02051282051282
"107","10","2003-09-07",2003,"2003",9,"Sep",7,"Sun","wkend",4,156,48,0.6875,33,20,68,0.307692307692308,0.211538461538462,0.128205128205128,0.435897435897436
"108","10","2003-09-08",2003,"2003",9,"Sep",8,"Mon","wkday",4,61,41,0.707317073170732,29,24,65,0.672131147540984,0.475409836065574,0.39344262295082,1.0655737704918
"109","10","2003-09-09",2003,"2003",9,"Sep",9,"Tue","wkday",4,29,22,0.80952380952381,17.8095238095238,29,51,0.758620689655172,0.614121510673235,1,1.75862068965517
"110","10","2003-09-11",2003,"2003",9,"Sep",11,"Thu","wkday",4,50,66,0.575757575757576,38,50,116,1.32,0.76,1,2.32
"111","10","2003-09-12",2003,"2003",9,"Sep",12,"Fri","wkend",4,159,132,0.621212121212121,82,72,204,0.830188679245283,0.515723270440252,0.452830188679245,1.28301886792453
"112","10","2003-09-13",2003,"2003",9,"Sep",13,"Sat","wkend",4,282,260,0.669230769230769,174,130,390,0.921985815602837,0.617021276595745,0.460992907801418,1.38297872340426
"113","10","2003-09-14",2003,"2003",9,"Sep",14,"Sun","wkend",4,380,301,0.697674418604651,210,231,532,0.792105263157895,0.552631578947368,0.607894736842105,1.4
"114","10","2003-09-15",2003,"2003",9,"Sep",15,"Mon","wkday",4,84,78,0.756410256410256,59,49,127,0.928571428571429,0.702380952380952,0.583333333333333,1.51190476190476
"115","10","2003-09-16",2003,"2003",9,"Sep",16,"Tue","wkday",4,111,106,0.716981132075472,76,85,191,0.954954954954955,0.684684684684685,0.765765765765766,1.72072072072072
"116","10","2003-09-17",2003,"2003",9,"Sep",17,"Wed","wkday",4,44,37,0.675675675675676,25,18,55,0.840909090909091,0.568181818181818,0.409090909090909,1.25
"117","10","2003-09-18",2003,"2003",9,"Sep",18,"Thu","wkday",4,58,56,0.732142857142857,41,58,114,0.96551724137931,0.706896551724138,1,1.96551724137931
"118","10","2003-09-19",2003,"2003",9,"Sep",19,"Fri","wkend",4,136,113,0.778761061946903,88,92,205,0.830882352941177,0.647058823529412,0.676470588235294,1.50735294117647
"119","10","2003-09-20",2003,"2003",9,"Sep",20,"Sat","wkend",4,209,174,0.701149425287356,122,98,272,0.832535885167464,0.583732057416268,0.4688995215311,1.30143540669856
"120","10","2003-09-21",2003,"2003",9,"Sep",21,"Sun","wkend",4,385,221,0.69683257918552,154,166,387,0.574025974025974,0.4,0.431168831168831,1.00519480519481
"121","10","2003-09-22",2003,"2003",9,"Sep",22,"Mon","wkday",4,119,82,0.74390243902439,61,59,141,0.689075630252101,0.512605042016807,0.495798319327731,1.18487394957983
"122","10","2003-09-23",2003,"2003",9,"Sep",23,"Tue","wkday",4,50,35,0.657142857142857,23,26,61,0.7,0.46,0.52,1.22
"123","10","2003-09-24",2003,"2003",9,"Sep",24,"Wed","wkday",4,68,46,0.760869565217391,35,37,83,0.676470588235294,0.514705882352941,0.544117647058823,1.22058823529412
"124","10","2003-09-25",2003,"2003",9,"Sep",25,"Thu","wkday",4,116,93,0.795698924731183,74,82,175,0.801724137931034,0.637931034482759,0.706896551724138,1.50862068965517
"125","10","2003-09-26",2003,"2003",9,"Sep",26,"Fri","wkend",4,149,86,0.662790697674419,57,63,149,0.577181208053691,0.38255033557047,0.422818791946309,1
"126","10","2003-09-27",2003,"2003",9,"Sep",27,"Sat","wkend",4,333,100,0.67,67,143,243,0.3003003003003,0.201201201201201,0.429429429429429,0.72972972972973
"127","10","2003-09-28",2003,"2003",9,"Sep",28,"Sun","wkend",4,315,122,0.737704918032787,90,161,283,0.387301587301587,0.285714285714286,0.511111111111111,0.898412698412698
"128","10","2003-09-29",2003,"2003",9,"Sep",29,"Mon","wkday",4,90,33,0.636363636363636,21,12,45,0.366666666666667,0.233333333333333,0.133333333333333,0.5
"129","10","2003-09-30",2003,"2003",9,"Sep",30,"Tue","wkday",4,33,24,0.666666666666667,16,15,39,0.727272727272727,0.484848484848485,0.454545454545455,1.18181818181818
"130","10","2003-10-02",2003,"2003",10,"Oct",2,"Thu","wkday",5,58,25,0.72,18,40,65,0.431034482758621,0.310344827586207,0.689655172413793,1.12068965517241
"131","10","2003-10-03",2003,"2003",10,"Oct",3,"Fri","wkend",5,69,36,0.638888888888889,23,21,57,0.521739130434783,0.333333333333333,0.304347826086957,0.826086956521739
"132","10","2003-10-04",2003,"2003",10,"Oct",4,"Sat","wkend",5,134,32,0.78125,25,41,73,0.238805970149254,0.186567164179104,0.305970149253731,0.544776119402985
"133","10","2003-10-05",2003,"2003",10,"Oct",5,"Sun","wkend",5,182,55,0.527272727272727,29,33,88,0.302197802197802,0.159340659340659,0.181318681318681,0.483516483516484
"134","10","2003-10-06",2003,"2003",10,"Oct",6,"Mon","wkday",5,32,15,0.866666666666667,13,2,17,0.46875,0.40625,0.0625,0.53125
"135","10","2003-10-07",2003,"2003",10,"Oct",7,"Tue","wkday",5,2,4,1,4,0,4,2,2,0,2
"136","10","2003-10-09",2003,"2003",10,"Oct",9,"Thu","wkday",5,9,2,0,0,5,7,0.222222222222222,0,0.555555555555556,0.777777777777778
"137","10","2003-10-10",2003,"2003",10,"Oct",10,"Fri","wkend",5,37,13,0.461538461538462,6,23,36,0.351351351351351,0.162162162162162,0.621621621621622,0.972972972972973
"138","10","2003-10-11",2003,"2003",10,"Oct",11,"Sat","wkend",5,62,27,0.518518518518518,14,12,39,0.435483870967742,0.225806451612903,0.193548387096774,0.629032258064516
"139","10","2003-10-12",2003,"2003",10,"Oct",12,"Sun","wkend",5,1,0,0,0,0,0,0,0,0,0
"140","10","2003-10-13",2003,"2003",10,"Oct",13,"Mon","wkday",5,21,7,0.285714285714286,2,15,22,0.333333333333333,0.0952380952380952,0.714285714285714,1.04761904761905
"141","10","2003-10-14",2003,"2003",10,"Oct",14,"Tue","wkday",5,4,2,0,0,0,2,0.5,0,0,0.5
"142","10","2003-10-15",2003,"2003",10,"Oct",15,"Wed","wkday",5,16,2,0.5,1,10,12,0.125,0.0625,0.625,0.75
"143","10","2003-10-17",2003,"2003",10,"Oct",17,"Fri","wkend",5,1,0,0,0,0,0,0,0,0,0
"144","10","2003-10-19",2003,"2003",10,"Oct",19,"Sun","wkend",5,23,1,0,0,1,2,0.0434782608695652,0,0.0434782608695652,0.0869565217391304
"145","10","2003-10-20",2003,"2003",10,"Oct",20,"Mon","wkday",5,1,0,0,0,0,0,0,0,0,0
"146","10","2003-10-21",2003,"2003",10,"Oct",21,"Tue","wkday",5,2,0,0,0,0,0,0,0,0,0
"147","10","2003-10-24",2003,"2003",10,"Oct",24,"Fri","wkend",5,13,1,0,0,1,2,0.0769230769230769,0,0.0769230769230769,0.153846153846154
"148","10","2003-10-25",2003,"2003",10,"Oct",25,"Sat","wkend",5,44,5,0.2,1,16,21,0.113636363636364,0.0227272727272727,0.363636363636364,0.477272727272727
"149","10","2003-10-26",2003,"2003",10,"Oct",26,"Sun","wkend",5,39,2,0,0,4,6,0.0512820512820513,0,0.102564102564103,0.153846153846154
"150","10","2003-10-27",2003,"2003",10,"Oct",27,"Mon","wkday",5,5,0,0,0,0,0,0,0,0,0
"151","10","2003-10-30",2003,"2003",10,"Oct",30,"Thu","wkday",5,1,0,0,0,0,0,0,0,0,0
"152","10","2003-10-31",2003,"2003",10,"Oct",31,"Fri","wkend",5,5,0,0,0,0,0,0,0,0,0
"153","10","2003-11-01",2003,"2003",11,"Nov",1,"Sat","wkend",5,72,0,0,0,10,10,0,0,0.138888888888889,0.138888888888889
"154","10","2003-11-02",2003,"2003",11,"Nov",2,"Sun","wkend",5,88,0,0,0,2,2,0,0,0.0227272727272727,0.0227272727272727
"155","10","2003-11-03",2003,"2003",11,"Nov",3,"Mon","wkday",5,10,0,0,0,0,0,0,0,0,0
"156","10","2003-11-04",2003,"2003",11,"Nov",4,"Tue","wkday",5,2,0,0,0,0,0,0,0,0,0
"157","10","2003-11-06",2003,"2003",11,"Nov",6,"Thu","wkday",5,8,0,0,0,2,2,0,0,0.25,0.25
"158","10","2003-11-07",2003,"2003",11,"Nov",7,"Fri","wkend",5,17,1,0,0,1,2,0.0588235294117647,0,0.0588235294117647,0.117647058823529
"159","10","2003-11-08",2003,"2003",11,"Nov",8,"Sat","wkend",5,52,0,0,0,5,5,0,0,0.0961538461538462,0.0961538461538462
"160","10","2003-11-09",2003,"2003",11,"Nov",9,"Sun","wkend",5,110,2,0,0,0,2,0.0181818181818182,0,0,0.0181818181818182
"161","10","2003-11-14",2003,"2003",11,"Nov",14,"Fri","wkend",5,22,0,0,0,0,0,0,0,0,0
"162","10","2003-11-15",2003,"2003",11,"Nov",15,"Sat","wkend",5,16,0,0,0,0,0,0,0,0,0
"163","10","2003-11-16",2003,"2003",11,"Nov",16,"Sun","wkend",5,48,0,0,0,1,1,0,0,0.0208333333333333,0.0208333333333333
"164","10","2003-11-22",2003,"2003",11,"Nov",22,"Sat","wkend",5,25,0,0,0,0,0,0,0,0,0
"165","10","2003-11-23",2003,"2003",11,"Nov",23,"Sun","wkend",5,73,0,0,0,1,1,0,0,0.0136986301369863,0.0136986301369863
"166","10","2003-11-29",2003,"2003",11,"Nov",29,"Sat","wkend",5,32,0,0,0,1,1,0,0,0.03125,0.03125
"167","10","2003-11-30",2003,"2003",11,"Nov",30,"Sun","wkend",5,74,0,0,0,1,1,0,0,0.0135135135135135,0.0135135135135135
"168","10","2003-12-10",2003,"2003",12,"Dec",10,"Wed","wkday",5,2,0,0,0,0,0,0,0,0,0
"169","10","2003-12-18",2003,"2003",12,"Dec",18,"Thu","wkday",5,12,0,0,0,3,3,0,0,0.25,0.25
"170","10","2003-12-19",2003,"2003",12,"Dec",19,"Fri","wkend",5,4,0,0,0,0,0,0,0,0,0
"171","10","2003-12-20",2003,"2003",12,"Dec",20,"Sat","wkend",5,8,0,0,0,0,0,0,0,0,0
"172","10","2003-12-21",2003,"2003",12,"Dec",21,"Sun","wkend",5,93,1,0,0,2,3,0.010752688172043,0,0.021505376344086,0.032258064516129
"173","10","2003-12-23",2003,"2003",12,"Dec",23,"Tue","wkday",5,2,0,0,0,0,0,0,0,0,0
"174","10","2003-12-28",2003,"2003",12,"Dec",28,"Sun","wkend",5,55,0,0,0,1,1,0,0,0.0181818181818182,0.0181818181818182
"175","10","2004-01-02",2004,"2004",1,"Jan",2,"Fri","wkend",1,5,0,0,0,0,0,0,0,0,0
"176","10","2004-01-10",2004,"2004",1,"Jan",10,"Sat","wkend",1,25,0,0,0,8,8,0,0,0.32,0.32
"177","10","2004-01-11",2004,"2004",1,"Jan",11,"Sun","wkend",1,113,0,0,0,0,0,0,0,0,0
"178","10","2004-01-13",2004,"2004",1,"Jan",13,"Tue","wkday",1,10,0,0,0,1,1,0,0,0.1,0.1
"179","10","2004-01-14",2004,"2004",1,"Jan",14,"Wed","wkday",1,3,0,0,0,0,0,0,0,0,0
"180","10","2004-01-16",2004,"2004",1,"Jan",16,"Fri","wkend",1,15,0,0,0,0,0,0,0,0,0
"181","10","2004-01-17",2004,"2004",1,"Jan",17,"Sat","wkend",1,19,0,0,0,3,3,0,0,0.157894736842105,0.157894736842105
"182","10","2004-01-18",2004,"2004",1,"Jan",18,"Sun","wkend",1,99,0,0,0,0,0,0,0,0,0
"183","10","2004-01-21",2004,"2004",1,"Jan",21,"Wed","wkday",1,2,0,0,0,0,0,0,0,0,0
"184","10","2004-01-22",2004,"2004",1,"Jan",22,"Thu","wkday",1,8,0,0,0,2,2,0,0,0.25,0.25
"185","10","2004-01-23",2004,"2004",1,"Jan",23,"Fri","wkend",1,2,0,0,0,0,0,0,0,0,0
"186","10","2004-01-24",2004,"2004",1,"Jan",24,"Sat","wkend",1,21,0,0,0,1,1,0,0,0.0476190476190476,0.0476190476190476
"187","10","2004-01-25",2004,"2004",1,"Jan",25,"Sun","wkend",1,78,0,0,0,0,0,0,0,0,0
"188","10","2004-01-27",2004,"2004",1,"Jan",27,"Tue","wkday",1,2,0,0,0,0,0,0,0,0,0
"189","10","2004-01-29",2004,"2004",1,"Jan",29,"Thu","wkday",1,2,0,0,0,1,1,0,0,0.5,0.5
"190","10","2004-01-31",2004,"2004",1,"Jan",31,"Sat","wkend",1,36,0,0,0,0,0,0,0,0,0
